Dept,Number,Title,A,B,C,D,F,I,NR,S,U,W,Instructor
CS,100,Discovering Computer Science,28,22,6,8,11,0,0,0,0,6,Reed
CS,107,Intro Comp & Programming,38,48,22,13,9,0,0,0,0,14,Theys
CS,109,C/C++ Programming,82,66,31,21,22,2,0,0,0,16,Hummel
CS,110,MATLAB for Engineers,5,5,9,5,1,1,0,0,0,2,Hummel
CS,111,Program Design I,12,6,6,1,5,0,0,0,0,3,Sloan
CS,111,Program Design I,44,35,17,6,9,0,0,0,0,9,Troy
CS,141,Program Design II,82,67,73,32,17,4,1,0,0,24,Reed
CS,151,Foundations of Computing,133,95,49,19,21,0,0,0,0,10,Bello Lander
CS,201,Discrete Structures I,4,4,7,4,1,0,1,0,0,4,Lillis
CS,211,Programming Practicum,72,48,18,10,11,0,0,0,0,13,Troy
CS,251,Data Structures,29,57,54,33,0,0,21,0,0,23,Lillis
CS,261,Machine Organization,36,46,38,10,11,0,0,0,0,22,Theys
CS,301,Languages and Automata,28,37,14,4,2,0,0,0,0,3,Bello Lander
CS,301,Languages and Automata,19,20,7,4,6,0,0,0,0,4,Checkoway
CS,341,Programming Language Concepts,67,34,13,4,1,1,0,0,0,3,Hummel
CS,342,Software Design,48,61,25,6,5,1,0,0,0,7,Bell
CS,361,Systems Programming,38,65,39,20,5,1,0,0,0,5,Taylor
CS,362,Computer Design,45,60,26,5,7,0,0,0,0,8,Theys
CS,377,Communication and Ethics,99,15,4,0,1,0,0,0,0,1,Burton
CS,411,Artificial Intelligence I,31,25,9,2,2,2,0,0,0,1,Ziebart
CS,412,Intro to Machine Learning,25,20,16,2,0,0,0,0,0,5,Zheleva
CS,418,Introduction to Data Science,22,9,8,0,1,0,0,0,0,2,Cruz
CS,421,Language Processing,31,12,9,4,0,0,0,0,0,0,Di Eugenio
CS,422,User Interface Design,25,28,11,2,2,0,0,0,0,0,Chattopadhyay
CS,424,Visual Analytics,13,15,8,0,0,0,0,0,0,2,Johnson
CS,426,Video Game Design,26,9,0,0,0,0,0,0,0,1,Marai
CS,440,Software Engr I,18,40,7,0,0,0,0,0,0,0,Bell
CS,442,Software Engineering II,16,17,2,0,0,0,0,0,0,0,Bell
CS,450,Intro to Networking,9,12,17,7,3,0,0,0,0,2,Kanich
CS,466,Adv Computer Architecture,3,7,6,0,0,0,0,0,0,0,Zhu
CS,473,Compiler Design,22,10,2,1,1,4,0,0,0,5,Venkatesan Natarajan
CS,474,Obj-Oriented Langs & Envs,22,15,15,13,4,1,1,0,0,13,Buy
